Gross Output by Industry
Gross Output by Industry
"Last Revised on: March 27, 2025"
Line,,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022,2023,2023,2023,2023,2024,2024,2024,2024
Line,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
12,"    Manufacturing",5907.7,5890.7,5914.9,5997.8,5999.0,6033.7,6058.9,5903.7,5697.1,5715.0,5687.5,5540.3,5429.7,5470.0,5493.4,5541.4,5605.9,5592.4,5654.6,5853.4,5953.0,6036.6,6102.7,6081.4,5997.1,6018.0,5931.1,5819.3,5651.4,4877.6,5472.6,5642.5,5957.4,6174.3,6358.3,6662.9,6967.7,7246.2,7207.4,7225.6,7199.5,7173.4,7252.6,7218.3,7229.1,7283.1,7309.2,7309.7

Legend/Footnotes
"1. Consists of agriculture, forestry, fishing, and hunting; mining; construction; and manufacturing."
"2. Consists of utilities; wholesale trade; retail trade; transportation and warehousing; information; finance, insurance, real estate, rental, and leasing; professional and business services; educational services, health care, and social assistance; arts, entertainment, recreation, accommodation, and food services; and other services, except government."
"3. Consists of computer and electronic product manufacturing (excluding navigational, measuring, electromedical, and control instruments manufacturing); software publishers; broadcasting and telecommunications; data processing, hosting and related services; internet publishing and broadcasting and web search portals; and computer systems design and related services."
Note. Detail may not add to total due to rounding.
