Year,all_employees_thousands_annual_mean
2013,11996.833333333334
2014,12160.0
2015,12307.75
2016,12323.5
2017,12406.416666666666
2018,12652.916666666666
2019,12778.833333333334
2020,12125.0
2021,12311.833333333334
2022,12768.166666666666
2023,12872.833333333334
2024,12817.666666666666
2025,12760.0
