Year,unemployment_rate_annual_mean
2013,6.583333333333333
2014,4.875
2015,4.341666666666667
2016,4.258333333333334
2017,3.6166666666666667
2018,3.2916666666666665
2019,2.9416666666666664
2020,6.75
2021,4.3
2022,2.983333333333333
2023,2.8666666666666667
2024,3.225
2025,3.4
