Month,Total nonfarm,Total private,Mining and logging,Construction,Manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Utilities,Information,Financial activities,Professional and business services,Private education and health services,Leisure and hospitality,Other services,Government,Federal government,State government,Local government
Jun-22,"152,353","130,229",609,"7,760","12,768","5,983.50","15,486.30","6,642.10",557.1,"3,081","9,059","22,559","24,269","15,778","5,677","22,124","2,852","5,104","14,168"
Jul-22,"153,049","130,767",614,"7,789","12,800","5,999.10","15,501.20","6,645.80",560.3,"3,095","9,072","22,652","24,407","15,925","5,707","22,282","2,862","5,140","14,280"
Aug-22,"153,286","131,017",612,"7,799","12,826","6,021.20","15,527.60","6,626.40",562.9,"3,092","9,088","22,689","24,488","15,977","5,708","22,269","2,859","5,146","14,264"
Sep-22,"153,513","131,233",614,"7,827","12,848","6,027.50","15,501.50","6,606.60",564.1,"3,094","9,093","22,733","24,547","16,047","5,730","22,280","2,863","5,148","14,269"
Oct-22,"153,913","131,604",617,"7,846","12,883","6,043.00","15,501.70","6,620.20",566.5,"3,095","9,119","22,784","24,642","16,144","5,743","22,309","2,869","5,139","14,301"
Nov-22,"154,210","131,836",624,"7,864","12,896","6,049.30","15,500.80","6,609.40",567.2,"3,105","9,132","22,797","24,732","16,200","5,759","22,374","2,875","5,162","14,337"
Dec-22,"154,336","131,963",626,"7,892","12,889","6,062.10","15,515.60","6,601.20",568.4,"3,087","9,141","22,791","24,777","16,241","5,772","22,373","2,873","5,136","14,364"
Jan-23,"154,780","132,288",634,"7,922","12,897","6,074.80","15,538.90","6,630.00",567.7,"3,062","9,144","22,798","24,882","16,354","5,784","22,492","2,882","5,199","14,411"
Feb-23,"155,086","132,538",634,"7,947","12,900","6,090.90","15,600.60","6,590.80",568.2,"3,052","9,156","22,838","24,953","16,424","5,783","22,548","2,890","5,219","14,439"
Mar-23,"155,171","132,586",635,"7,931","12,890","6,097.70","15,575.30","6,586.90",571.4,"3,056","9,152","22,834","25,024","16,441","5,792","22,585","2,897","5,235","14,453"
Apr-23,"155,387","132,753",638,"7,955","12,889","6,091.60","15,559.50","6,583.90",573.7,"3,050","9,182","22,845","25,105","16,478","5,802","22,634","2,905","5,251","14,478"
May-23,"155,614","132,919",642,"7,965","12,874","6,098.60","15,558.80","6,601.70",574.5,"3,035","9,179","22,846","25,223","16,505","5,816","22,695","2,914","5,272","14,509"
Jun-23,"155,871","133,089",641,"8,006","12,877","6,096.60","15,547.60","6,590.90",575.5,"3,024","9,183","22,820","25,313","16,581","5,833","22,782","2,923","5,294","14,565"
Jul-23,"156,019","133,199",642,"8,014","12,863","6,108.80","15,545.10","6,582.50",574.2,"3,001","9,192","22,772","25,448","16,610","5,846","22,820","2,928","5,303","14,589"
Aug-23,"156,176","133,307",640,"8,039","12,856","6,111.80","15,536.70","6,557.00",577.1,"2,975","9,190","22,756","25,568","16,635","5,865","22,869","2,942","5,324","14,603"
Sep-23,"156,334","133,396",640,"8,049","12,869","6,121.90","15,531.80","6,567.80",579.4,"2,973","9,182","22,724","25,638","16,636","5,884","22,938","2,948","5,337","14,653"
Oct-23,"156,520","133,513",638,"8,076","12,836","6,127.30","15,534.10","6,587.20",581.3,"2,947","9,174","22,706","25,732","16,685","5,889","23,007","2,955","5,359","14,693"
Nov-23,"156,661","133,610",636,"8,085","12,858","6,131.40","15,478.10","6,582.70",582.4,"2,952","9,171","22,659","25,847","16,724","5,903","23,051","2,957","5,366","14,728"
Dec-23,"156,930","133,823",637,"8,099","12,865","6,138.00","15,543.70","6,587.60",584.7,"2,962","9,176","22,664","25,932","16,728","5,906","23,107","2,966","5,378","14,763"
Jan-24,"157,049","133,896",632,"8,113","12,866","6,128.60","15,520.80","6,583.80",586.2,"2,966","9,165","22,667","26,031","16,720","5,917","23,153","2,977","5,390","14,786"
Feb-24,"157,271","134,047",633,"8,136","12,853","6,121.70","15,530.20","6,614.10",589.8,"2,963","9,155","22,661","26,127","16,735","5,928","23,224","2,985","5,404","14,835"
Mar-24,"157,517","134,216",637,"8,170","12,838","6,130.20","15,545.30","6,626.10",589,"2,959","9,152","22,637","26,214","16,772","5,946","23,301","2,997","5,414","14,890"
Apr-24,"157,635","134,345",630,"8,173","12,847","6,137.50","15,545.70","6,643.70",588.8,"2,952","9,152","22,645","26,308","16,768","5,954","23,290","2,995","5,418","14,877"
May-24,"157,828","134,505",624,"8,188","12,849","6,132.10","15,558.50","6,653.30",590.8,"2,953","9,159","22,656","26,387","16,791","5,963","23,323","2,998","5,420","14,905"
Jun-24,"157,915","134,571",623,"8,203","12,839","6,135.80","15,537.40","6,661.20",591.9,"2,953","9,167","22,639","26,464","16,783","5,974","23,344","3,000","5,429","14,915"
Jul-24,"158,003","134,611",623,"8,214","12,840","6,143.60","15,522.80","6,661.30",591.6,"2,936","9,164","22,623","26,525","16,792","5,975","23,392","3,002","5,444","14,946"
Aug-24,"158,074","134,644",622,"8,237","12,800","6,147.40","15,509.50","6,663.00",592.4,"2,929","9,170","22,591","26,590","16,818","5,975","23,430","3,004","5,453","14,973"
Sep-24,"158,314","134,852",624,"8,267","12,800","6,154.50","15,523.20","6,670.10",595,"2,929","9,175","22,575","26,688","16,869","5,982","23,462","3,008","5,468","14,986"
Oct-24,"158,358","134,851",623,"8,268","12,750","6,160.60","15,516.60","6,661.10",594.2,"2,922","9,178","22,541","26,775","16,878","5,983","23,507","3,011","5,484","15,012"
Nov-24,"158,619","135,095",625,"8,274","12,770","6,165.70","15,503.10","6,688.80",593.9,"2,927","9,194","22,578","26,848","16,932","5,995","23,524","3,009","5,493","15,022"
Dec-24,"158,942","135,382",624,"8,289","12,760","6,178.70","15,537.50","6,723.20",593.1,"2,944","9,206","22,614","26,931","16,979","6,002","23,560","3,012","5,512","15,036"
Jan-25,"159,053","135,461",621,"8,286","12,755","6,174.40","15,573.20","6,744.50",594.5,"2,940","9,220","22,579","26,993","16,965","6,015","23,592","3,015","5,524","15,053"
Feb-25,"159,170","135,577",625,"8,300","12,763","6,179.80","15,571.40","6,760.70",596.1,"2,941","9,236","22,586","27,053","16,948","6,017","23,593","3,004","5,520","15,069"
Mar-25,"159,398","135,786",623,"8,313","12,764","6,177.80","15,595.10","6,783.60",599.1,"2,939","9,245","22,589","27,130","16,991","6,036",,,,
