Industries,Group ,Subgroup,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
General merchandise stores,Trade & Transportation,Retail trade,116492,123012,131698,136278,139037,139477,157148,172720,181075,186516,198442,200669,207359,215065,212396,210837,214100,221106,228827,229670,233936,242483,244474,255628,285280,302477,310953
Other retail,Trade & Transportation,Retail trade,436673,460666,485176,526912,524065,543011,580600,632350,671547,715919,731625,697997,662018,690602,720973,763319,819353,860856,916077,960187,1008034,1068280,1108702,1168702,1444855,1533655,1576936
Air transportation,Trade & Transportation,,114082,115414,120546,133957,118293,111355,121994,132138,141802,152093,160675,170930,146642,163474,194217,195414,203717,216755,220666,221809,236301,253774,272267,126833,195119,295863,311313
Rail transportation,Trade & Transportation,,38153,38140,38690,39260,39849,40489,41448,45680,51528,58116,60665,68392,54709,66432,75816,79141,82572,88947,82483,75673,79569,86545,84848,73951,83438,95281,91781
Water transportation,Trade & Transportation,,24436,24507,25658,27174,26861,25870,29972,35037,37592,41929,46950,50679,42696,46856,48918,50022,50581,54528,51721,50815,54977,59805,60883,39151,39994,66079,71454
Truck transportation,Trade & Transportation,,162002,174031,185747,198499,199331,203129,208883,231013,255940,272756,279024,283669,231349,251530,278367,297775,308722,336371,337243,337616,367154,401324,409425,413698,491140,577863,529782
Transit and ground passenger transportation,Trade & Transportation,,24252,26465,26327,26031,26830,27395,28026,33318,37022,42342,44903,45047,44886,45117,49237,50992,56379,63061,66925,68184,78301,95376,109551,73270,87865,119275,145630
Pipeline transportation,Trade & Transportation,,24249,24128,24133,23217,22700,22149,22355,23037,22829,24244,25741,31245,27305,31190,34988,36442,38916,42118,44193,45189,48072,55595,61593,59335,63989,69603,71201
Other transportation and support activities,Trade & Transportation,,85459,95648,106107,118078,121541,125249,130051,142099,152344,167255,178472,177776,154922,165672,179045,187233,196137,210856,222001,228320,238706,256632,264513,287699,354727,394148,349161
Warehousing and storage,Trade & Transportation,,26342,28633,31094,33818,36333,39694,45258,49691,53170,61496,69034,76898,78609,88470,97611,108888,110419,111195,112236,118222,123834,129874,134932,137510,158943,178503,180304
"Publishing industries, except internet (includes software)",Information & Finance,,190764,214065,238525,259404,261892,264625,261717,279709,292077,304476,311019,312912,288304,289213,298099,296233,310680,326161,328775,357787,385290,399887,418461,445059,498567,553286,591814
Motion picture and sound recording industries,Information & Finance,,89502,96851,104942,115324,121979,124039,131549,130695,134289,136497,137055,131084,123108,129789,128331,131700,135499,137246,143584,149886,150736,162543,166843,147135,168195,195500,202063
Broadcasting and telecommunications,Information & Finance,,404110,446759,506000,563064,581200,576352,573824,585551,609242,634238,654178,672760,664849,687333,709656,733128,753070,794702,824598,865295,862043,887012,893988,893874,936588,958320,937161
