Line,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,
        Gross domestic product,16789.8,17052.4,17442.8,17812.2,18261.7,18799.6,19141.7,19612.1,20193.9,20715.7,20267.6,21494.8,22034.8,22671.1,23305,
    Manufacturing,1950.8,1964.4,1964.6,2030.2,2049.2,2064.8,2049.3,2109.7,2213,2224.8,2128.3,2289.4,2310.9,2317.9,2382.7,
