Year,avg_hourly_earnings_dollars_annual_mean
2013,24.3325
2014,24.791666666666668
2015,25.231666666666666
2016,25.978333333333335
2017,26.564166666666665
2018,27.0175
2019,27.675
2020,28.753333333333334
2021,29.66333333333333
2022,30.936666666666667
2023,32.395833333333336
2024,33.972500000000004
