Year,avg_weekly_work_hours_annual_mean
2013,40.81666666666667
2014,40.958333333333336
2015,40.75
2016,40.7
2017,40.81666666666667
2018,40.90833333333333
2019,40.55833333333333
2020,39.84166666666667
2021,40.416666666666664
2022,40.358333333333334
2023,40.083333333333336
2024,40.041666666666664
